77单间 | 个人高新地铁口 九方百货 主卧带卫生间阳台仅1000 主卧 \( 4室 \) 25㎡ 南延线 时代·晶科名苑 来自经纪人： 李房东 李房东 3年 58同城认证商家----今天 1100元/月
78单间 | 川师南大门附近卓锦城单间漂亮 干净卫生 次卧 \( 4室以上 \) 15㎡ 川师 卓锦城 来自个人房源：海哥----今天 550元/月
79整租 | 中坝地铁站附近，中铁、西环写字楼旁，大公园对面，西城 2室2厅1卫 77㎡ 外光华 荣富西城尚锦 来自经纪人： 晟大房地产 - 西城店 代宏余 代宏余 1年 晟大房地 58同城认证商家----今天 2200元/月
80整租 | 融锦城精装套三，家电齐全，拎包入住 3室1厅1卫 88㎡ 驷马桥 融锦城距离1号线升仙湖地铁站1320米 来自经纪人： 成都吾家投资管理有限公司 - 融锦城店 李陈林 李陈林 1年 成都吾家 58同城认证商家----今天 2500元/月
81整租 | 世纪城 地铁口 天鹅湖精装套二 有钥匙 随时看房 2室1厅1卫 78㎡ 世纪城 天鹅湖北苑距离1号线世纪城地铁站427米 来自经纪人： 麦地不动产 - 世纪城店 黄仁树 黄仁树 1年 麦地不动 58同城认证商家----今天 3000元/月
82单间 | 地铁出口 静居寺沙河一号 家具家电齐全 免 赠送网络 主卧 \( 4室 \) 25㎡ 成仁路 沙河壹号 来自经纪人： 姚琴 姚琴 2年 58同城认证商家----今天 800元/月
83整租 | 东大街天仙桥北路时代1号soho我的寓所精装套一17 1室1厅1卫 41㎡ 春熙路 soho公寓距离2号线东门大桥地铁站354米 来自经纪人： 我爱我家 - 天仙桥旗舰店一组 吕志亮 吕志亮 1年 我爱我家 58同城认证商家----今天 1750元/月
84单间 | 德盛路小区单间租，温馨如家。 主卧 \( 3室 \) 20㎡ 太升路 德盛路75号院 来自经纪人： 王晓英 王晓英 1年 58同城认证商家----今天 850元/月
85单间 | 南北朝向主卧 ，采光好 清晨一缕阳光投进你的房间 带 主卧 \( 4室 \) 18㎡ 中和镇 香榭国际 来自经纪人： 成都美佳源资产管理有限公司 - 美佳源 程明伟 程明伟 2年 成都美佳 58同城认证商家----今天 770元/月
86整租 | 限购租房肯定会涨 逸都国际 精装套二拧包入住看房随时 2室2厅1卫 85㎡ 大源村 盛源逸都国际距离1号线天府三街地铁站2334米 来自经纪人： 我爱我家 - 保利心语旗舰店二组 黎路军 黎路军 1年 我爱我家 58同城认证商家----今天 2200元/月
87整租 | 急租 万达广场对面橡树林 精装简欧风 带大阳台 大衣 1室2厅1卫 60㎡ 九眼桥 瑞升·望江橡树林南院距离2号线东大路地铁站2275米 来自经纪人： 成都市世纪玖洲房地产经纪有限公司 - 万达店 罗敏 罗敏 1年 成都市世 58同城认证商家----今天 2500元/月
88整租 | 春熙路商圈 精装跃层 空房 工作室 高层 带地暖 富 3室2厅2卫 188㎡ 东大街 朗御距离2号线东门大桥地铁站638米 来自经纪人： 李金华 李金华 1年 58同城认证商家----今天 14000元/月
