白鸽岛尚,2037.2,352,236,9580,19,2008,22,高家庄
百花丽都园,115.0,91,58,9306,6,2000,1,双楠
云影苑,798.0,237,347,13545,7,2005,5,外双楠
新天美地,265.0,13,20,9879,6,2005,2,九眼桥
水岸东里一期,136.0,4,14,9067,6,,2,万年场
绿地锦天府,7333.0,269,276,19178,30,2015,14,攀成钢
花牌坊191号,120.0,2,12,9725,7,1988,2,花牌坊
枫景雅居,280.0,8,26,11579,11,2006,2,新华公园
双发金英汇,742.0,137,244,15522,24,2011,7,航空路
中央花园城市别墅,1200.0,110,33,15210,3,2000,3,五大花园
府青路一段3号,736.0,198,116,10254,7,1996,8,猛追湾
420厂宿舍,497.0,6,32,9532,8,1996,6,新华公园
龙城高新天地,339.0,24,126,5560,19,2015,16,犀浦
四季花城,366.0,74,85,11753,21,2003,2,广福桥
保利公园198百合郡,6434.0,392,852,7230,26,2009,70,保利公园
驿鑫乡卿城,110.0,8,3,8902,13,2007,1,草金立交
润兰花园,430.0,0,10,9534,6,2006,4,中和
庭芳苑,118.0,88,20,9521,7,2002,2,一品天下
南辰景秀,166.0,3,42,12226,18,2006,2,火车南站
金林俊景,711.0,159,133,12835,17,2009,6,五大花园
东苑C区,1468.5,55,42,13379,,2009,10,东苑
春秋名邸,758.0,64,104,5600,24,2007,16,龙泉驿城区
中央花园精一区,162.0,8,25,8415,6,2002,2,五大花园
天地芳苑,370.0,42,34,8833,7,2001,4,西南交大
川航佳园,258.0,81,132,9603,7,2007,3,高升桥
华西花园一期,1228.0,524,452,8477,16,2010,16,万年场
同心苑,472.0,20,66,7936,7,2000,6,一品天下
芳草东街93号,576.0,2,22,10276,7,1999,6,芳草
红城,860.5,41,237,9815,17,2011,18,丽都
新华苑（航空路）,1668.0,150,243,9812,6,2000,12,航空路
枫林秀色,200.0,2,2,5953,6,2003,2,郫县城区
树蓓街42号,358.0,2,4,8671,7,1998,4,金牛万达
福祥家园瑞康苑,120.0,4,24,9644,6,2007,2,茶店子
河滨佳苑,55.0,7,3,9946,7,1998,1,三官堂
百寿路7号,136.0,2,32,8236,7,1997,2,石人小区
都市水岸,324.5,19,45,5466,6,2007,5,温江老城
橙郡三期,2190.0,54,116,11482,17,2007,20,中海国际
西区花园晨之曦,1143.6,48,202,6895,6,2004,18,犀浦
嘉恒商寓,408.0,8,4,8223,7,2000,4,马鞍路
上锦颐园,6949.2,1396,1200,5582,6,2008,138,红光
紫荆北路58号,304.0,4,96,9973,6,2000,6,紫荆
营康西路10号,140.0,0,4,8059,8,1998,2,一品天下
锦宏骏苑南区,571.0,15,24,13885,11,2004,3,川音
欣盛家园,301.8,7,14,5166,5,2005,4,温江老城
成外雅庭,547.4,260,428,6785,18,2008,10,成外
豪瑞新界,1640.6,60,86,9032,16,2005,14,通惠门
东润风尚,234.0,43,70,11176,12,2006,4,静居寺
百花东街25号,137.0,48,20,9326,7,2000,2,双楠
七里晓月,383.0,98,60,10682,13,2014,4,簇桥
交大智能六期,1120.0,530,808,8270,7,2000,22,西南交大
高升桥10号,84.0,0,5,9925,7,2005,1,高升桥
工人村,233.6,0,0,11991,7,1996,2,马鞍路
蜀东小区,156.0,4,6,8284,4,2003,2,八里小区
中海格林威治城,2323.8,247,220,14402,31,2006,12,川大
卓锦城一期,831.0,202,226,8681,,2006,8,卓锦城
新南路84号,168.0,4,69,10375,7,2008,2,川音
金域港湾,666.0,10,20,12521,11,2006,4,茶店子
630宿舍,84.0,14,42,9546,7,1994,2,神仙树
一环路北三段92号,121.4,22,22,9648,7,2000,2,马鞍路
凤凰栖,731.6,58,32,8568,6,2001,4,营门口
依云,2685.5,214,237,9985,32,2009,16,东湖
观城,10186.0,1630,2006,12737,6,2005,78,洪河
新能巷1号,444.0,62,110,9113,7,1995,4,芳草
时代豪庭四期,4358.0,171,65,26202,37,2011,8,合江亭
南玻公寓,1438.0,14,58,7410,7,1996,12,金牛万达
福兴苑,62.0,6,14,5661,6,2000,1,温江新城
桂王桥南街28号,78.0,22,8,12065,7,2001,1,盐市口
华宜上锦,294.0,38,194,9774,26,2014,4,大源
千居朝阳,2760.0,658,600,8160,,2008,32,万象城
中铁骑士公馆,999.0,50,109,15532,18,2013,8,新双楠
空港国际城1期,586.0,22,254,5934,13,2013,20,航空港
东山国际新城H区一期,1989.4,372,276,6909,18,2015,28,东山
十里彩云间,490.0,76,76,8659,9,2007,10,万年场
黄忠爱丽舍,502.0,94,156,8143,12,2003,10,蜀汉路
金鱼街1号,110.0,282,54,9937,5,2000,2,抚琴小区
西财学府尚郡,722.8,152,91,6207,11,2013,9,温江大学城
金牛花园,2340.0,446,318,9377,17,2009,24,高家庄
国嘉南苑二期,118.0,22,36,8677,7,2002,1,华西
新禧苑,1026.0,90,74,9010,7,2000,10,SM广场
中海名城一期,7232.0,696,538,16521,11,2002,32,神仙树
交子公寓,240.0,32,40,9763,7,2000,2,合江亭
锦丽华庭,130.0,72,256,6067,17,2012,2,文星镇
平安正街41号,120.0,4,16,7895,7,1998,2,李家沱
双楠谊苑二期二区,120.0,5,1,10218,7,1999,1,双楠
水韵华府,2059.0,153,159,7510,9,2012,15,光华大道沿线
领馆逸品,520.0,30,230,10114,17,2009,6,中和
钢管厂五区,329.0,23,66,8859,7,2001,4,莲花
